iter	Passed	Remaining
0	152	152788
1	155	77446
2	156	52084
3	158	39409
4	159	31762
5	161	26760
6	162	23108
7	164	20378
8	166	18307
9	168	16713
10	170	15312
11	171	14137
12	172	13131
13	174	12271
14	175	11521
15	176	10880
16	178	10314
17	179	9818
18	183	9484
19	185	9079
20	186	8703
21	188	8369
22	189	8050
23	190	7757
24	191	7487
25	193	7241
26	194	7016
27	198	6873
28	199	6686
29	201	6500
30	202	6326
31	203	6160
32	204	6006
33	206	5864
34	207	5728
35	209	5600
36	210	5480
37	212	5384
38	214	5284
39	215	5182
40	217	5086
41	218	4994
42	220	4900
43	221	4814
44	222	4727
45	224	4650
46	225	4576
47	227	4510
48	230	4465
49	231	4396
50	232	4332
51	234	4268
52	235	4206
53	236	4148
54	238	4092
55	239	4036
56	241	3990
57	243	3956
58	245	3911
59	246	3865
60	248	3819
61	249	3776
62	250	3731
63	252	3691
64	253	3648
65	254	3607
66	256	3577
67	258	3544
68	259	3507
69	261	3471
70	262	3434
71	263	3399
72	265	3366
73	266	3333
74	267	3300
75	268	3269
76	271	3251
77	272	3226
78	274	3198
79	275	3170
80	276	3142
81	278	3115
82	278	3081
83	280	3056
84	281	3030
85	282	3005
86	284	2981
87	286	2965
88	287	2946
89	289	2924
90	290	2902
91	292	2886
92	293	2865
93	295	2846
94	296	2824
95	297	2802
96	298	2781
97	301	2777
98	303	2761
99	304	2743
100	306	2725
101	307	2708
102	309	2691
103	310	2674
104	311	2657
105	312	2639
106	314	2623
107	316	2611
108	318	2599
109	319	2584
110	320	2570
111	322	2560
112	324	2547
113	325	2532
114	327	2517
115	328	2503
116	329	2486
117	332	2486
118	334	2473
119	335	2460
120	336	2446
121	337	2431
122	339	2418
123	340	2406
124	341	2393
125	343	2380
126	344	2366
127	347	2368
128	349	2362
129	351	2350
130	352	2338
131	353	2326
132	355	2314
133	356	2301
134	357	2290
135	358	2278
136	361	2274
137	362	2264
138	364	2254
139	365	2244
140	367	2236
141	368	2223
142	369	2213
143	370	2204
144	372	2194
145	373	2185
146	375	2177
147	377	2171
148	378	2163
149	380	2155
150	381	2146
151	382	2136
152	384	2126
153	385	2118
154	386	2108
155	388	2100
156	389	2093
157	392	2090
158	394	2084
159	395	2076
160	396	2064
161	397	2057
162	399	2050
163	401	2045
164	403	2040
165	404	2033
166	407	2031
167	409	2026
168	410	2018
169	412	2013
170	413	2005
171	415	1998
172	416	1991
173	417	1983
174	419	1976
175	423	1982
176	424	1975
177	426	1968
178	427	1960
179	428	1953
180	430	1947
181	431	1940
182	433	1933
183	436	1934
184	438	1932
185	440	1925
186	441	1918
187	442	1912
188	444	1905
189	445	1898
190	446	1892
191	448	1885
192	449	1879
193	451	1876
194	453	1871
195	454	1865
196	456	1859
197	457	1853
198	458	1847
199	460	1840
200	461	1834
201	463	1829
202	466	1831
203	468	1829
204	470	1824
205	472	1819
206	473	1814
207	475	1808
208	476	1802
209	477	1797
210	481	1798
211	483	1796
212	485	1794
213	487	1790
214	488	1784
215	490	1778
216	491	1773
217	492	1768
218	496	1771
219	498	1768
220	500	1764
221	503	1763
222	504	1758
223	506	1753
224	507	1747
225	508	1742
226	512	1744
227	514	1741
228	515	1736
229	517	1731
230	518	1726
231	520	1723
232	522	1718
233	523	1714
234	526	1713
235	528	1711
236	529	1706
237	531	1701
238	532	1696
239	534	1692
240	535	1687
241	537	1683
242	538	1678
243	542	1679
244	543	1675
245	545	1670
246	546	1666
247	547	1661
248	549	1656
249	550	1652
250	552	1647
251	553	1643
252	555	1639
253	558	1639
254	560	1636
255	562	1633
256	563	1630
257	565	1626
